season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,5,"Jonathan Black",missmara,0,"Check the Lock",clipping.,63,85,,spotify:track:6VWsWgliFma9IFL2NlQ1H7
1,5,Mashew,"Michael Layous",2,"For Nancy ('Cos It Already Is)","Pete Yorn",73,40,,spotify:track:2Vin9asYhJvyvBvGMAyi0f
1,5,Mashew,"Philip Chapin",1,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,Mashew,"Sarah S",1,"Paradise By the Dashboard Light","Meat Loaf",48,33,,spotify:track:2g7gviEeJr6pyxO7G35EWQ
1,5,Mashew,"Voltron’s YoungLion",-1,"Mr. Shorty","Marty Robbins",78,35,,spotify:track:1I6883eWftxG6oq5SYWPXd
1,5,Mashew,jac,1,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
1,5,Mashew,missmara,3,"Check the Lock",clipping.,63,85,,spotify:track:6VWsWgliFma9IFL2NlQ1H7
1,5,"Michael Layous","Jonathan Black",-1,"30,000 Pounds of Bananas - Live; 1975","Harry Chapin",85,24,,spotify:track:1jXky83x0PR5nrRbAleiJC
1,5,"Michael Layous","Philip Chapin",1,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,"Michael Layous","Sarah S",2,"Paradise By the Dashboard Light","Meat Loaf",48,33,,spotify:track:2g7gviEeJr6pyxO7G35EWQ
1,5,"Michael Layous",SusieQ,1,Galahad,"Josh Ritter",84,22,,spotify:track:2lWY3EmnZuH2b1f3Sjh5J8
1,5,"Michael Layous",Tj,2,"Roller Skates","Steel Pulse",69,23,,spotify:track:3ciMXKwXlLCFcQCyhKblZs
1,5,"Michael Layous",missmara,2,"Check the Lock",clipping.,63,85,,spotify:track:6VWsWgliFma9IFL2NlQ1H7
1,5,"Philip Chapin",Mashew,1,"Long Legged Larry","Aesop Rock",75,38,,spotify:track:0OX9lzZxKlbtn3c2d97uqz
1,5,"Philip Chapin","Michael Layous",-1,"For Nancy ('Cos It Already Is)","Pete Yorn",73,40,,spotify:track:2Vin9asYhJvyvBvGMAyi0f
1,5,"Philip Chapin",SusieQ,2,Galahad,"Josh Ritter",84,22,,spotify:track:2lWY3EmnZuH2b1f3Sjh5J8
1,5,"Philip Chapin",Tj,2,"Roller Skates","Steel Pulse",69,23,,spotify:track:3ciMXKwXlLCFcQCyhKblZs
1,5,"Philip Chapin",jac,2,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
1,5,"Philip Chapin",missmara,1,"Check the Lock",clipping.,63,85,,spotify:track:6VWsWgliFma9IFL2NlQ1H7
1,5,"Sarah S","Jonathan Black",2,"30,000 Pounds of Bananas - Live; 1975","Harry Chapin",85,24,,spotify:track:1jXky83x0PR5nrRbAleiJC
1,5,"Sarah S",Mashew,1,"Long Legged Larry","Aesop Rock",75,38,,spotify:track:0OX9lzZxKlbtn3c2d97uqz
1,5,"Sarah S","Philip Chapin",1,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,"Sarah S",SusieQ,2,Galahad,"Josh Ritter",84,22,,spotify:track:2lWY3EmnZuH2b1f3Sjh5J8
1,5,"Sarah S",Tj,1,"Roller Skates","Steel Pulse",69,23,,spotify:track:3ciMXKwXlLCFcQCyhKblZs
1,5,"Sarah S",jac,-1,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
1,5,"Sarah S",missmara,1,"Check the Lock",clipping.,63,85,,spotify:track:6VWsWgliFma9IFL2NlQ1H7
1,5,SusieQ,"Jonathan Black",3,"30,000 Pounds of Bananas - Live; 1975","Harry Chapin",85,24,,spotify:track:1jXky83x0PR5nrRbAleiJC
1,5,SusieQ,"Michael Layous",1,"For Nancy ('Cos It Already Is)","Pete Yorn",73,40,,spotify:track:2Vin9asYhJvyvBvGMAyi0f
